CaseNumber,Amt.Repaid.at.6.Months,Nominal.Loan.Amount,Total.Amt.to.be.Repaid,PRSM,Repayment.Percentage,Commission.Upfront,Validated.Monthly.Batch,Historical.Monthly.Credit.Card.Receipts,Loan.Type,Loan.Size.Class,FICO,Years.In.Business,Num.of.Credit.Lines,Num.of.Paid.off.Credit.Lines,Current.Delinquent.Credit.Lines,Previous.Delinquent.Credit.Lines,Business.Entity.Type,Num.of.Trade.Lines,Num.of.Derog.Legal.Item,Two.Digit.SIC.Code,Two.Digit.SIC.Description,Population.in.Zip.Code,Average.House.Value.in.Zip.Code,Income.Per.Household.in.Zip....,State,ISO.Name
305617957,24996,37400,44880,1.1139,12.5,3141.6,36036.12,36036,R,S3,524,36,46,20,4,5,LLC,0,0,58,Eating and Drinking Places,32399,151500,57986,WI,Loan Masters
142315238,17753,33400,38911,0.9125,12.5,888.44,62170,57927.6,R,S3,598,4,24,15,0,4,LLC,0,0,58,Eating and Drinking Places,17310,1000001,40932,NY,Loan Masters
83319677,2034,4200,4935,0.8243,12.5,496.12,3867.1,3867,O,S1,624,7,33,11,3,11,LLC,1,0,72,Personal Services,10763,133300,43326,LA,Loan Masters
131916174,2995,6000,7050,0.8496,12.5,486,5253.86,5254.66667,O,S1,562,21,46,29,1,3,S-Corp,1,0,75,Auto Repair Services and Parking,16291,81800,23891,NY,Loan Masters
452213765,17221,30200,35938,0.9584,12.5,4167.6,25540.46,25540.5455,O,S3,690,5,39,17,0,0,LLC,7,0,58,Eating and Drinking Places,72138,132300,20606,NY,Loan Masters
282117201,1052,3000,3570,0.5894,10,414,3041.78,3041.5,O,S1,511,7,32,20,7,10,LLC,1,0,72,Personal Services,30225,166200,69276,IL,Credit Divas
32511831,2236,10000,11900,0.3758,12.5,1380,10061.96,10755.3333,O,S2,468,5,12,3,4,2,LLC,2,0,58,Eating and Drinking Places,3744,255000,22875,GA,Credit Divas
66914286,12586,30600,37944,0.6634,12.5,4528.8,20201.26,20201.3333,O,S3,622,8,22,18,0,6,LLC,0,0,72,Personal Services,8377,121600,62604,VA,Credit Divas
160114199,234904,4.00E+05,476000,0.9870,12.5,43332,315301.82,315301.8,O,S4,687,3,30,12,0,1,LLC,1,1,58,Eating and Drinking Places,18872,95900,48898,AL,Loan Masters
56618294,8260,20600,24514,0.6739,12.5,2842.8,18933,18933,O,S2,489,3,33,11,6,5,LLC,14,0,72,Personal Services,7092,705800,126247,CT,Credit Divas
294013180,8283,14600,18108,0.9148,12.5,2167,9587.44,9587.5,O,S2,576,3,10,3,4,3,S-Corp,0,0,51,Wholesale Trade-Nondurable Goods,31330,117500,45379,GA,Credit Divas
277410250,24422,46000,54050,0.9037,12.5,3105,45639.4,112114,R,S4,616,5,17,14,1,9,LLC,4,0,50,Wholesale Trade-Durable Goods,29767,234300,88133,VA,Loan Masters
170815515,2005,4000,4780,0.8389,12.5,417,7027.56,7027.55196,R,S1,482,2,24,7,10,10,LLC,1,0,59,Miscellaneous Retail Stores,19975,149300,64482,LA,Loan Masters
435014053,4714,11200,13720,0.6872,12.5,1136.8,7222.28,7222.4,O,S2,693,6,30,18,0,1,LLC,1,0,58,Eating and Drinking Places,58259,160000,31348,NY,Loan Masters
373917482,1601,3200,3920,0.8168,12.5,417.6,3480,3480,R,S1,469,7,54,35,3,11,LLC,1,0,75,Auto Repair Services and Parking,41595,156700,61712,PA,Loan Masters
184017628,2549,5600,6580,0.7748,12.5,453.6,5134.36,6300.66667,O,S1,606,4,9,4,2,0,LLC,0,1,58,Eating and Drinking Places,21132,112400,46280,OH,Loan Masters
71015530,18482,40000,49900,0.7408,12.5,7923.5,41188,39823.6,R,S3,552,12,22,15,1,1,LLC,0,0,56,Apparel and Accessory Stores,9239,142500,57377,MN,Loan Masters
278013586,2295,13400,15946,0.2878,12.5,1849.2,10490.9,10491.3333,O,S2,521,18,22,18,1,6,LLC,5,7,57,Home Furniture and Furnishings Stores,29860,74600,29350,KY,Credit Divas
